id,created_at,text
1133917788676927489,2019-05-30 02:07:22,"RT @HarvardBiz: Israel, Switzerland, and Belgium rank highest in tech skills, according to research by Coursera. https://t.co/e2kx48msIm"
1133901595404455936,2019-05-30 01:03:01,So you love #data? Believe in the power of #education? Are stoked about @coursera's mission to scale access to life… https://t.co/i7AoaXINZI
1133525907312861185,2019-05-29 00:10:10,"RT @coursera: A deep dive on the results from the Global Skills Index by our own @emilygsands and @vinod_b, featured in @HarvardBiz https:/…"
1121809928056741888,2019-04-26 16:15:03,RT @lkatz42: My brief remembrance of my dear friend and long-term collaborator Alan Krueger @Alan_Krueger and his amazing work and influenc…
1115394244250820608,2019-04-08 23:21:25,RT @DeVaneyGoBlue: Great panel on #ArtificialIntelligence potential to transform education explores role of #privacy and #transparency #asu…
1115394185350139905,2019-04-08 23:21:11,"RT @adorasv: ""We have to turn around credentials. As long as people are screened based on their school or past employer, we aren’t going to…"
1111287146717962241,2019-03-28 15:21:17,RT @lkatz42: The amazing and brilliant @PikaGoldin (aka Claudia Goldin) wins the BBVA Frontiers of Knowledge Award in Economics! https://t.…
1110195489201225733,2019-03-25 15:03:25,RT @annkirschner: Attending ASU GSV Summit?  Join my all-star panel w/ @drjspitz &amp; @emilygsands &amp; @Kelauni_J &amp; Colleen Lewis offering solut…
1108917411489566720,2019-03-22 02:24:48,"RT @WiDS_Conference: Video: #WiDS2019 Career Panel moderated by @margootjeg of @stanford. 

Panelists:
@QuietStormnat, @brighthiveio  
@Mar…"
1108012617501569026,2019-03-19 14:29:28,"RT @jeffkearns: U.S. trails Europe in technology and data-science skills, according to a new study of user data by @Coursera and @emilygsan…"
1103532623203168256,2019-03-07 05:47:34,Inspiring day! Talking #AI for #education w/ @drfeifei &amp; @aaker’s fascinating ‘Designing AI for Wellbeing’ class at… https://t.co/pg0G9IP7O4
1103527748000112646,2019-03-07 05:28:12,RT @mitra_akh: Amazing turnout at #widssfairbnb @AirbnbData. Thank you @emilygsands for giving our keynote. https://t.co/TCMmZLBhzW
1103527734146297857,2019-03-07 05:28:09,"RT @azades: @elenatej and @emilygsands discuss about challenges of #datascience and @ML in #coursera and #airbnb. #WomenInTech
#WomenInData…"
1103527700839297024,2019-03-07 05:28:01,RT @roshni__b: The #impostersyndrome is real and how to deal with it; by @elenatej @emilygsands at @AirbnbData #WiDS2019 https://t.co/RLQN0…
1103527632228909056,2019-03-07 05:27:44,"RT @elenatej: Women in data science event at Airbnb tonight on career paths in data science, starting with terrific talk by @emilygsands .…"
1103527625656422400,2019-03-07 05:27:43,RT @PriyaVenkat01: Emphasizing the link between data science work and societal impact can help attract and retain women in data science job…
1102790500036165633,2019-03-05 04:38:38,And that's a wrap on #WiDS2019 at @Stanford--what a movement! I left inspired to keep learning &amp; exploring. If you… https://t.co/zvxVn43ia7
1102725170811174912,2019-03-05 00:19:03,RT @mmlee: Livestreaming now: tune in to the Women in Data Science #WiDS2019 career panel! https://t.co/Mk0BnIXRQo https://t.co/UWXX2vFwCR
