id,created_at,text
1157316313624133632,2019-08-02 15:44:45,"@dweekly @adamnash Clearly, ‘mango seed’ — slow growth, needs nurturing, juicy payoff if it works (big round, enter… https://t.co/pECVJyChFa"
1156437458474549249,2019-07-31 05:32:30,"Data engineering trends (by @criccomini):

Timeliness: batch -&gt; real time
Connectivity: bespoke integrations -&gt; man… https://t.co/G2Qdk9tdeB"
1156434561376509952,2019-07-31 05:20:59,@peteskomoroch @hunterwalk Yes! I mentioned it briefly in the https://t.co/xt6vmsKn1c article: 'Just like when buil… https://t.co/aw45ila00C
1156428422400233473,2019-07-31 04:56:35,@criccomini @dpatil @peteskomoroch @msamuelson I have the one right before that (2009) 'Data Projects and Prioritie… https://t.co/VEdJGjH9ps
1154592365241221121,2019-07-26 03:20:45,"RT @mlpowered: 13 months. 250 pages. I wrote an ML book!

Want to learn how to ship ML in practice? Check it out!

Includes tips from @WWRo…"
1153822027809038336,2019-07-24 00:19:43,"RT @Reza_Zadeh: Lyft open-sourced their autonomous driving dataset from its Level 5 self-driving fleet. 

- 55k human-labeled 3D frames
- 7…"
1147936516322156546,2019-07-07 18:32:47,@chrisalbon Ours is awesome. You can put books on hold online and pick them up in bulk when ready. It takes 3 minut… https://t.co/s6Lw4TzOda
1144820899398291458,2019-06-29 04:12:26,@criccomini @jhscott @dsully Yes (bronze). DM-ing more details.
1144746307803684864,2019-06-28 23:16:02,"@peteskomoroch @drewconway @jakeporway Disagree, most data is in the cloud these days."
1144728184895619072,2019-06-28 22:04:01,@jhscott @criccomini @dsully I had much better health plans through employers than what I currently get on my own.
1143222558130466819,2019-06-24 18:21:12,"RT @peteskomoroch: Video of my talk ""Product Management for AI"" from the #DominoRev conference is now live: https://t.co/jtRUeDPExn It's a…"
1138891804118405121,2019-06-12 19:32:20,@peteskomoroch @OReillyMedia You're right. And they'd be wrong. So much ML Eng productivity left on the table just… https://t.co/mRYGa01lwF
1138485617862385664,2019-06-11 16:38:17,"From a recent @OReillyMedia survey on AI adoption in the enterprise:

Which tools are you planning to incorporate i… https://t.co/sthiada9bm"
1138153905517256704,2019-06-10 18:40:11,"RT @jeremystan: 1/ There are some great options for data warehousing today. After dozens of conversations with data teams, and a lot of tes…"
1137514092573278208,2019-06-09 00:17:48,RT @jmschreiber91: Selecting features using all data before splitting into folds for training/testing is a big source of train-test leakage…
1136630965562818560,2019-06-06 13:48:34,"RT @LookerData: We are excited to announce that we've signed an agreement to join the @GoogleCloud family! Hear more from Looker CEO, @fran…"
1135589766710226948,2019-06-03 16:51:13,"RT @dbamman: Now that our semester is over, all of the complete Jupyter notebooks and data for the Applied NLP class can be found here: htt…"
1134142556348899328,2019-05-30 17:00:31,"1) Begin with the end in mind (this will also focus your efforts IMO)  

2) New categories are hard (especially whe… https://t.co/fTuSvK8dKj"
1133858407440633856,2019-05-29 22:11:25,@peteskomoroch @AbeGong @neilkod @CMastication @dataandme @juliasilge @josh_wills Twitter search for ‘mrogati divis… https://t.co/R5xlUim62g
1133853071321133062,2019-05-29 21:50:12,@peteskomoroch @neilkod @CMastication @dataandme @juliasilge @josh_wills It’s actually the other way around! I’ve b… https://t.co/RHM2pXg54X
1126620190844710912,2019-05-09 22:49:19,"RT @facesbyvaish: Such amazing speakers around #MachineLearning, #AI and the biases around the algorithms and data labeling at the #TrainAI…"
1125843521791860736,2019-05-07 19:23:07,RT @JeffDean: Live from #io19: we're announcing the 20 #GoogleAI Impact Challenge grantees. Each has a project that seeks to better our wor…
1123924467179315206,2019-05-02 12:17:29,"@cournape @peteskomoroch @markmadsen Agree, it’s a very iterative &amp; constantly evolving process."
1123918703660285953,2019-05-02 11:54:35,@peteskomoroch @cournape @markmadsen Exactly; this is specifically addressed towards the end of the article: https://t.co/xt6vmt1YpM
1123707052218638341,2019-05-01 21:53:33,RT @mrogati: Metrics. Choose carefully. http://t.co/nJN2T1r1va
1123652678679023616,2019-05-01 18:17:29,"@marosenbergCO @kareem_carr @raj_mehta It’s a hierarchy of needs, a la Maslow’s. The bottom layer is the *most* imp… https://t.co/jvhO25nrOm"
1123609498063523840,2019-05-01 15:25:54,"RT @peteskomoroch: Here are the slides from my #StrataData London Executive Briefing ""Why managing machines is harder than you think"" https…"
1123585149885501440,2019-05-01 13:49:09,RT @markmadsen: Data infrastructure: you have to be able to query data across the company before you can do more advanced things. Not “writ…
1123292585311625218,2019-04-30 18:26:36,"Useful thread about Prophet, a time series forecasting tool that takes into account seasonality, uncertainty and do… https://t.co/uTuPtLUloJ"
1121082209077612546,2019-04-24 16:03:22,"@dauber @peteskomoroch @sarahcat21 The 'uphill both ways, in the snow' line? Not yet. (Incidentally, as anybody who… https://t.co/x7JbCnqW5Z"
1121064853110546432,2019-04-24 14:54:24,@peteskomoroch @dauber @sarahcat21 We had 2h of propaganda + static the rest of the time. This made math homework a… https://t.co/8fqFMnj1ab
1120751715349749760,2019-04-23 18:10:06,RT @dtunkelang: Is Relevance Part of the Problem? https://t.co/J1NyxqkjDY
1116801284927918080,2019-04-12 20:32:30,@vboykis Literally https://t.co/4Apj1y9UQb
1116056917657317377,2019-04-10 19:14:39,RT @InsightFellows: Insight is expanding to Los Angeles! Apply now for Data Science &amp; Data Engineering Fellows Programs starting September…
1112085753696264192,2019-03-30 20:14:39,"@strlen @__oana Read Dune in Romanian as a teen &amp; I was hooked. In retrospect the translation was well done, given… https://t.co/5n1DF6BOQa"
1110869572905824258,2019-03-27 11:41:59,"RT @ProfJenNeville: Three Pioneers in Artificial Intelligence Win Turing Award, via @nytimes https://t.co/ZyFGfMKVHK"
1108923430747824128,2019-03-22 02:48:43,"@dtunkelang ""Google, how do you say 'dragon' in Spanish?"" 
""Continuar."" 
True story."
1107116433845051392,2019-03-17 03:08:21,@JHanlon @chrisalbon (Deleted previous tweet saying the same thing since it was pointing to an article with a now-u… https://t.co/vChlkD5Sit
1107114355500310528,2019-03-17 03:00:06,"@JHanlon @chrisalbon Exactly; 'unfair advantage' is not a bad thing here. For example, speed, flexibility and curio… https://t.co/6I09wYuwXH"
1106996232629575680,2019-03-16 19:10:43,"@dtunkelang I could see why it works for them (loss aversion, typical client likes a nudge to explore), but it didn't work for me."
1106994302658314240,2019-03-16 19:03:03,@arnicas https://t.co/uvHKvk73vr
1106993310214684672,2019-03-16 18:59:06,"Amazon starts with an unfair advantage: 10 years of labeled data (what clothes/colors/sizes I bought, returned, sav… https://t.co/Ru8Kg9uVRU"
1106989730430803969,2019-03-16 18:44:53,"Just got an email from Amazon launching Prime Stylist. Looks like a Stitchfix competitor, and you get to preview yo… https://t.co/t5fwWu3alP"
1106964384771772416,2019-03-16 17:04:10,"RT @pacoid: ⚡️ “A landscape for Python data”

https://t.co/VDAKFGmLoU"
1105697473190739969,2019-03-13 05:09:55,"@jowyang Had to do a double take, but no, it's not us (@eminomura, @AbeGong @brianwilt, Alex &amp; @astrobiased). Altho… https://t.co/Y2ildN2rHJ"
1105255989006102528,2019-03-11 23:55:37,"We keep using the phrase ""biggest bottleneck"". 
I do not think it means what we think it means."
1105254762214121472,2019-03-11 23:50:44,"Machine learning is 1) a big deal and 2) bottlenecked on training data. This is now common knowledge, but @l2k and… https://t.co/eSCZ99yGKV"
1104918419483242496,2019-03-11 01:34:14,"RT @l2k: Appen acquires Figure Eight for up to $300M, bringing two data annotation companies together https://t.co/Fw0bQyEs4W"
1104455395915968513,2019-03-09 18:54:20,@acroll Yes! https://t.co/A42YEibbRs
1104141517197783040,2019-03-08 22:07:06,"RT @InsightFellows: On #InternationalWomensDay, we're featuring exciting projects by our Fellows that highlight how #DataScience can change…"
1104141127303614464,2019-03-08 22:05:33,"@markmadsen Thank you, Mark!"
1103422339461537793,2019-03-06 22:29:20,"RT @smfrogers: Want to make #datagifs? We've just launched a new version of our tool with some great new #dataviz templates.

LINK: https:/…"
1103309202171154432,2019-03-06 14:59:46,"RT @Don_Costy: This map from 1973 details the layout of ARPANET, one of the first internet-like networks. 
The map comes from David Newbury…"
1102267637298413568,2019-03-03 18:00:58,@jimsterne @googlemaps I thought the dots are for walking directions?
1100562995514490880,2019-02-27 01:07:20,Next up: Your team is joined by your first pet. You somehow find yourself on the street you grew up on. Where are y… https://t.co/Gc2JyBfmEM
1100177925318467585,2019-02-25 23:37:12,"@pkedrosky Tahoe, too. This is quite a saga over 5h: https://t.co/2ZkRLZwd2i"
1099132678052360192,2019-02-23 02:23:46,"Luckily, this translates well. My other story about protesting the (perceived) gender inaccuracy of a lullaby as a… https://t.co/NFfJnxhSkG"
1099130007337631744,2019-02-23 02:13:09,"Ran away from preschool &amp; went home.
Mom, horrified: ""What are you doing here? You ran away from preschool?!?"" 
Me,… https://t.co/Z5dpoO5qfi"
1097293494593310722,2019-02-18 00:35:30,@GirlsPlay_Games https://t.co/A42YEibbRs
1096458018596605954,2019-02-15 17:15:37,"@johncoleman1979 Yes, and I constantly push back on that -- employers lazily use keywords for recruiters to hunt be… https://t.co/irfyk0zxOv"
1096146258635284480,2019-02-14 20:36:48,RT @OpenAI: We've trained an unsupervised language model that can generate coherent paragraphs and perform rudimentary reading comprehensio…
1096116996284964864,2019-02-14 18:40:31,I disagree there's a glut of data scientists. I agree there's a glut of aspiring data scientists with unrealistic e… https://t.co/5cajQUeIfR
1096089805283196928,2019-02-14 16:52:28,"""[Junior Data Scientists] come in w/ an unrealistic set of expectations about what DS work will look like. Everyone… https://t.co/RS09PvGG9Z"
1095498629052227584,2019-02-13 01:43:21,"RT @Smerity: Before doing anything intelligent with ""AI"", do the unintelligent version fast and at scale.
At worst you understand the limit…"
1093336334020730880,2019-02-07 02:31:09,"RT @Backstage_Cap: Applications are OPEN for the Backstage Mentor Program!! 💜 W/the launch of 4 Accelerator cities, we're looking for opera…"
1091408490910736384,2019-02-01 18:50:36,RT @BBCNewsGraphics: Over the past year the BBC's data journalists have fundamentally changed the way we produce graphics. Now we’ve open-s…
1088922321769816064,2019-01-25 22:11:27,RT @FigureEightInc: Announcing a brand new product from @FigureEightInc - Machine Learning Assisted Data Labeling! Combines the best of hum…
1088095421262553088,2019-01-23 15:25:38,RT @nehanarkhede: This is Confluent in a nutshell. Only 4 years since we started the company. We’re the fastest growing enterprise company…
1088090363309449216,2019-01-23 15:05:33,RT @jaykreps: Excited to announce @confluentinc has raised a Series D funding round. https://t.co/d8T8eupfd2
1085713092082786304,2019-01-17 01:39:07,RT @math_rachel: Summaries of 10 important AI ethics research papers of 2018 by @thinkmariya https://t.co/QTjeCRB1hZ
1084977537141207040,2019-01-15 00:56:17,RT @peter: This is brilliant: a software + hardware hack for Google Home &amp; Amazon Alexa that preserves your privacy and lets you rename you…
1083772271192227841,2019-01-11 17:06:59,"RT @lpolovets: 1/ The more I think about moats (sustainable competitive advantages), the more interested I become in ""compounding moats,"" w…"
1083254440688156673,2019-01-10 06:49:19,"@rctatman @mellowbeing That was also my first thought, but then I saw the little white hand. (Unrelated: did anybod… https://t.co/mNOLUqo2Ii"
1082514280329621505,2019-01-08 05:48:11,"RT @erishabh: A well maintained list of best paper award winning papers in CS conferences (since 1996):
https://t.co/LZ0EkETL0a

Covers mos…"
1073795193445310464,2018-12-15 04:21:38,RT @Reza_Zadeh: Best paper award #NeurIPS2018 main idea: Defining a deep residual network as a continuously evolving system &amp; instead of up…
1073284248000331776,2018-12-13 18:31:20,RT @Rich_Barton: Check out this @trulia piece using data from over 20 million “What Locals Say” reviews to identify the most neighborly com…
1073271426952515584,2018-12-13 17:40:23,"RT @elluba: The AI art gallery from our NeurIPS Creativity workshop is now online 😀🤖

https://t.co/ixbdjEx6Jc

 #AIart #creativeAI #NeurIPS…"
1073255336704860162,2018-12-13 16:36:27,"RT @peteskomoroch: “They’ve been warned about spending 80% of their time cleaning data. That sounds like a distant dream now. Instead, they…"
1073113562405470210,2018-12-13 07:13:05,@HamelHusain @peteskomoroch @texasmichelle @jeremylewi @kubeflow @drewconway Exactly; that was the motivation for w… https://t.co/lYcX8oXUjU
1073112766607552512,2018-12-13 07:09:55,@thanosgatos @HamelHusain @peteskomoroch @texasmichelle @jeremylewi @kubeflow @drewconway @JorisMeys Yes; this is w… https://t.co/Ve82aRmdJc
1072584055038861313,2018-12-11 20:09:01,@kristammar I use these: https://t.co/i7atVkkUYg
1072577904238911494,2018-12-11 19:44:34,"@jeremystan @jeremyphoward Yes, that’s the main input into the classifier; I just like that it’s using other common… https://t.co/kE47M8KXNC"
1072574208222351366,2018-12-11 19:29:53,@jeremystan @jeremyphoward Wrist-based sleep tracking does have its limitations due to not having access to your br… https://t.co/oMVux96Fzz
1072570285499604993,2018-12-11 19:14:18,"@jeremystan @jeremyphoward Yes, I found the AutoSleep app pretty accurate. I charge it during showers/getting ready… https://t.co/Mj1xEXCf41"
1072537735011975169,2018-12-11 17:04:57,"@KanuGulati Congratulations! Do not read ‘Why we sleep’ until baby turns 5, very depressing / frustrating before then."
1072374607053754369,2018-12-11 06:16:44,"@HenkPoley Interesting -- Amazon's bestseller is 10mg; 5 &amp; 3mg are also popular doses, even for kids' OTC products.… https://t.co/oCjadwSF4K"
1072351982038474752,2018-12-11 04:46:50,This. Went from 6h to 7h20 mins after reading ‘Why we sleep’. My sleep recipe? Blackout curtains; Alaska Bear sleep… https://t.co/ILnUznSg7D
1070013635345375232,2018-12-04 17:55:05,"RT @acroll: Want to teach your kids art, design, theory of mind, probability, dispute resolution, game theory, and critical thinking? Try a…"
1067888968568471552,2018-11-28 21:12:25,"RT @bcantrill: Am waiting for the year that reInvent goes full Red Wedding, locking the doors and announcing that every attendee's product…"
1067437824289296385,2018-11-27 15:19:44,@DRB Thanks for the offer and vote of confidence! I don’t have the bandwidth right now for this project but I’ll keep it in mind.
1067275818835959808,2018-11-27 04:35:58,"@vboykis He works 60h but his wife doesn’t work outside the home, so on average that’s a 30h work week, not even 40… https://t.co/fUBF2FC7co"
1067259030823821314,2018-11-27 03:29:16,"RT @NASAInSight: Aaah...soaking up the Sun with my solar panels. 🌞 After a long flight, and thrilling #MarsLanding, it feels great to get a…"
1066911031492898816,2018-11-26 04:26:26,RT @LogicalAnalysis: Explaining the plummeting cost of solar power | MIT News https://t.co/muzVObjd7i
1066447840866488320,2018-11-24 21:45:53,"@VentureBeat @jlprendki Love this article, especially the anecdotes and grounded recommendations. Nice ML pyramid, too ;)."
1065013932224524288,2018-11-20 22:48:03,Interesting take on human/ML interaction from @rahulvohra: Use machine learning to extract best practices from… https://t.co/sTlE2pBVjM
